implementation,threads,points,clusters,cache_misses,cache_references,cache_miss_rate,branch_misses
naive,1,50000,10,0.0,0.0,0.0,0.0
naive,2,50000,10,0.0,0.0,0.0,0.0
naive,4,50000,10,0.0,0.0,0.0,0.0
naive,8,50000,10,0.0,0.0,0.0,0.0
naive,1,100000,10,0.0,0.0,0.0,0.0
naive,2,100000,10,0.0,0.0,0.0,0.0
naive,4,100000,10,0.0,0.0,0.0,0.0
naive,8,100000,10,0.0,0.0,0.0,0.0
optimized,1,50000,10,0.0,0.0,0.030753533333333333,0.0
optimized,2,50000,10,0.0,0.0,0.002763236666666667,0.0
optimized,4,50000,10,0.0,0.0,0.0019956333333333333,0.0
optimized,8,50000,10,0.0,0.0,0.0007256900000000001,0.0
optimized,1,100000,10,0.0,0.0,0.0,0.0
optimized,2,100000,10,0.0,0.0,0.0,0.0
optimized,4,100000,10,0.0,0.0,0.0,0.0
optimized,8,100000,10,0.0,0.0,0.0,0.0
sequential,1,50000,10,0.0,0.0,0.0,0.0
sequential,1,100000,10,0.0,0.0,0.0,0.0
soa,1,50000,10,0.0,0.0,0.026205333333333334,0.0
soa,2,50000,10,0.0,0.0,0.028627833333333335,0.0
soa,4,50000,10,0.0,0.0,0.007406166666666666,0.0
soa,8,50000,10,0.0,0.0,0.0022268866666666667,0.0
soa,1,100000,10,0.0,0.0,0.0,0.0
soa,2,100000,10,0.0,0.0,0.0,0.0
soa,4,100000,10,0.0,0.0,0.0,0.0
soa,8,100000,10,0.0,0.0,0.0,0.0
