implementation,threads,mean_runtime_ms,efficiency
naive,1,206.15765833333333,1.1922288333333333
naive,2,559.4050833333333,0.22071766666666667
naive,4,1057.262,0.05893679999999999
naive,8,1365.5871666666665,0.023073649999999998
optimized,1,191.25643333333332,1.2678608333333334
optimized,2,215.9394166666667,0.5621516666666667
optimized,4,212.35855,0.28783991666666664
optimized,8,135.67160833333332,0.227089
sequential,1,247.4805,1.0
soa,1,155.73125000000002,1.4739724999999997
soa,2,118.07786666666665,0.9710424999999999
soa,4,50.9872,1.1360477499999997
soa,8,54.94173333333334,0.5274041666666667
