implementation,threads,ipc,cache_miss_rate
naive,1,0.0,0.0
naive,2,0.0,0.0
naive,4,0.0,0.0
naive,8,0.0,0.0
optimized,1,0.5397566666666667,0.015376766666666666
optimized,2,0.23632666666666668,0.0013816183333333334
optimized,4,0.14627466666666666,0.0009978166666666666
optimized,8,0.11068183333333333,0.00036284500000000004
sequential,1,0.0,0.0
soa,1,0.5662583333333333,0.013102666666666667
soa,2,0.5608666666666667,0.014313916666666667
soa,4,0.35361166666666666,0.003703083333333333
soa,8,0.17382666666666668,0.0011134433333333334
