implementation,threads,mean_runtime_ms,speedup
naive,1,206.15765833333333,1.1922288333333333
naive,2,559.4050833333333,0.4414354166666667
naive,4,1057.262,0.2357473333333333
naive,8,1365.5871666666665,0.18458916666666667
optimized,1,191.25643333333332,1.2678608333333334
optimized,2,215.9394166666667,1.1243038333333333
optimized,4,212.35855,1.1513616666666668
optimized,8,135.67160833333332,1.8167116666666665
sequential,1,247.4805,1.0
soa,1,155.73125000000002,1.4739724999999997
soa,2,118.07786666666665,1.9420866666666665
soa,4,50.9872,4.5441908333333325
soa,8,54.94173333333334,4.2192333333333325
